Dziennik,Data,Wpis,Liczba
1RŻ,2024-09-02,obecność,144
1RŻ,2024-09-03,obecność,125
1RŻ,2024-09-04,obecność,132
1RŻ,2024-09-05,obecność,107
1RŻ,2024-09-06,obecność,97
1RŻ,2024-09-09,obecność,139
1RŻ,2024-09-10,obecność,119
1RŻ,2024-09-11,obecność,78
1RŻ,2024-09-12,obecność,122
1RŻ,2024-09-13,obecność,106
1RŻ,2024-09-16,obecność,125
1RŻ,2024-09-17,obecność,101
1RŻ,2024-09-18,obecność,107
1RŻ,2024-09-19,obecność,113
1RŻ,2024-09-20,nieob. uspr. p.s.,52
1RŻ,2024-09-23,obecność,109
1RŻ,2024-09-24,obecność,114
1RŻ,2024-09-25,obecność,94
1RŻ,2024-09-26,obecność,107
1RŻ,2024-09-27,obecność,98
1RŻ,2024-09-30,obecność,102
1RŻ,2024-10-01,obecność,95
1RŻ,2024-10-02,obecność,97
1RŻ,2024-10-03,obecność,81
1RŻ,2024-10-04,obecność,93
1RŻ,2024-10-07,obecność,98
1RŻ,2024-10-08,obecność,101
1RŻ,2024-10-09,obecność,129
1RŻ,2024-10-10,obecność,105
1RŻ,2024-10-11,obecność,98
1RŻ,2024-10-15,obecność,57
1RŻ,2024-10-16,obecność,96
1RŻ,2024-10-17,obecność,103
1RŻ,2024-10-18,obecność,104
1RŻ,2024-10-21,obecność,94
1RŻ,2024-10-22,obecność,105
1RŻ,2024-10-23,obecność,84
1RŻ,2024-10-24,obecność,94
1RŻ,2024-10-25,obecność,85
1RŻ,2024-10-28,obecność,133
1RŻ,2024-10-29,obecność,102
1RŻ,2024-10-30,obecność,103
1RŻ,2024-10-31,obecność,70
1RŻ,2024-11-04,obecność,122
1RŻ,2024-11-05,obecność,116
1RŻ,2024-11-06,obecność,103
1RŻ,2024-11-07,obecność,117
1RŻ,2024-11-08,obecność,97
1RŻ,2024-11-12,obecność,96
1RŻ,2024-11-13,obecność,112
1RŻ,2024-11-14,obecność,117
1RŻ,2024-11-15,obecność,65
1RŻ,2024-11-18,nieob. uspr. p.s.,96
1RŻ,2024-11-19,obecność,80
1RŻ,2024-11-20,obecność,96
1RŻ,2024-11-21,obecność,96
1RŻ,2024-11-22,obecność,65
1RŻ,2024-11-25,obecność,89
1RŻ,2024-11-26,obecność,105
1RŻ,2024-11-27,obecność,105
1RŻ,2024-11-28,obecność,80
1RŻ,2024-11-29,obecność,114
1RŻ,2024-12-02,obecność,120
1RŻ,2024-12-03,obecność,113
1RŻ,2024-12-04,obecność,103
1RŻ,2024-12-05,obecność,44
1RŻ,2024-12-06,obecność,106
1RŻ,2024-12-09,obecność,113
1RŻ,2024-12-10,obecność,100
1RŻ,2024-12-11,obecność,106
1RŻ,2024-12-12,obecność,96
1RŻ,2024-12-13,obecność,82
1RŻ,2024-12-16,obecność,119
1RŻ,2024-12-17,obecność,100
1RŻ,2024-12-18,obecność,79
1RŻ,2024-12-19,obecność,87
1RŻ,2024-12-20,obecność,81
1RŻ,2025-01-07,obecność,92
1RŻ,2025-01-08,obecność,107
1RŻ,2025-01-09,obecność,106
1RŻ,2025-01-10,obecność,93
1RŻ,2025-01-13,obecność,110
1RŻ,2025-01-14,obecność,93
1RŻ,2025-01-15,obecność,95
1RŻ,2025-01-16,obecność,101
1RŻ,2025-01-17,obecność,89
1RŻ,2025-01-20,obecność,61
1RŻ,2025-01-21,obecność,125
1RŻ,2025-01-22,obecność,100
1RŻ,2025-01-23,obecność,96
1RŻ,2025-01-24,nieobecność,38
1RŻ,2025-01-24,nieob. uspr. p.s.,30
1RŻ,2025-01-27,spóźnienie,3
1RŻ,2025-01-27,obecność,111
1RŻ,2025-01-28,obecność,85
1RŻ,2025-01-29,obecność,93
1RŻ,2025-01-30,obecność,87
1RŻ,2025-01-30,spóźnienie,4
1RŻ,2025-01-31,obecność,59
1RŻ,2025-02-17,obecność,97
1RŻ,2025-02-18,obecność,123
1RŻ,2025-02-19,obecność,107
1RŻ,2025-02-20,obecność,120
1RŻ,2025-02-21,obecność,59
1RŻ,2025-02-24,nieobecność,25
1RŻ,2025-02-25,obecność,111
1RŻ,2025-02-26,obecność,94
1RŻ,2025-02-27,obecność,103
1RŻ,2025-02-28,obecność,116
1RŻ,2025-02-28,nieobecność,9
1RŻ,2025-03-03,obecność,111
1RŻ,2025-03-04,obecność,95
1RŻ,2025-03-05,obecność,72
1RŻ,2025-03-06,obecność,89
1RŻ,2025-03-06,spóźnienie,6
1RŻ,2025-03-07,obecność,88
1RŻ,2025-03-07,nieobecność,21
1RŻ,2025-03-10,obecność,104
1RŻ,2025-03-10,nieob. uspraw.,21
1RŻ,2025-03-11,obecność,99
1RŻ,2025-03-11,spóźnienie,1
1RŻ,2025-03-12,obecność,60
1RŻ,2025-03-13,obecność,100
1RŻ,2025-03-14,obecność,107
1RŻ,2025-03-17,obecność,90
1RŻ,2025-03-18,obecność,113
1RŻ,2025-03-18,nieob. uspraw.,12
1RŻ,2025-03-19,obecność,90
1RŻ,2025-03-20,obecność,106
1RŻ,2025-03-21,nieobecność,35
1RŻ,2025-03-24,obecność,102
1RŻ,2025-03-25,obecność,104
1RŻ,2025-03-25,spóźnienie,2
1RŻ,2025-03-26,obecność,100
1RŻ,2025-03-27,obecność,131
1RŻ,2025-03-28,obecność,111
1RŻ,2025-03-28,nieobecność,18
