uczen_id,Dziennik,semestr,wszystkich,nieobecnych
7700936E4E,1TMR,I,628,87
7700936E4E,1TMR,II,643,128
F8B50A8344,1TMR,I,628,120
F8B50A8344,1TMR,II,665,266
03AEB33741,1TMR,I,628,52
03AEB33741,1TMR,II,665,181
A9E9EC6594,1TMR,I,628,27
A9E9EC6594,1TMR,II,657,123
98FEAB8F76,1TMR,I,628,37
98FEAB8F76,1TMR,II,665,76
940BF22883,1TMR,I,628,172
940BF22883,1TMR,II,651,266
23DB6BD902,1TMR,I,491,84
23DB6BD902,1TMR,II,521,169
A1243AB615,1TMR,I,628,109
A1243AB615,1TMR,II,657,223
A4A36B4E09,1TMR,I,409,19
083910DC52,1TMR,I,628,117
083910DC52,1TMR,II,665,222
FD2C74DB5D,1TMR,I,628,57
FD2C74DB5D,1TMR,II,651,124
B39E849D14,1TMR,I,628,42
B39E849D14,1TMR,II,665,136
5BF2808B10,1TMR,I,626,38
5BF2808B10,1TMR,II,655,162
7811B2DBCC,1TMR,I,597,271
7811B2DBCC,1TMR,II,620,283
B1DDFEEBB0,1TMR,I,626,36
B1DDFEEBB0,1TMR,II,663,171
D599412EEA,1TMR,I,626,178
D599412EEA,1TMR,II,649,221
3F27E14055,1TMR,I,625,78
3F27E14055,1TMR,II,663,146
2954C52C82,1TMR,I,625,128
2954C52C82,1TMR,II,655,232
D390D5A596,1TMR,I,625,98
D390D5A596,1TMR,II,663,175
B7C8567112,1TMR,I,178,36
B7C8567112,1TMR,II,665,219
B26C8B7C69,1TMR,I,626,21
B26C8B7C69,1TMR,II,663,129
6DD30301DF,1TMR,I,626,68
6DD30301DF,1TMR,II,663,128
712F3B6D7F,1TMR,I,626,35
712F3B6D7F,1TMR,II,663,144
D4C0C869C8,1TMR,I,628,60
D4C0C869C8,1TMR,II,657,171
CA401B47ED,1TMR,I,626,164
CA401B47ED,1TMR,II,663,292
987F5A2EB5,1TR,I,657,65
987F5A2EB5,1TR,II,706,189
1CBC1F0E57,1TR,I,657,57
1CBC1F0E57,1TR,II,706,137
E2EB12D56B,1TR,II,452,159
9517AC92C7,1TR,I,458,118
9517AC92C7,1TR,II,706,240
5EC10B5EC7,1TR,I,657,74
5EC10B5EC7,1TR,II,706,133
160687C9FD,1TR,I,657,105
160687C9FD,1TR,II,706,228
0373CBE4B4,1TR,I,657,77
0373CBE4B4,1TR,II,706,181
909307CE90,1TR,I,657,208
909307CE90,1TR,II,338,90
07A57A079B,1TR,I,657,31
07A57A079B,1TR,II,706,132
97F6191346,1TR,I,657,148
97F6191346,1TR,II,706,265
8DF1F18C18,1TR,I,657,263
8DF1F18C18,1TR,II,330,116
C1CA22C677,1TR,I,45,14
24DB2A060B,1TR,I,657,44
24DB2A060B,1TR,II,699,87
4A472E1193,1TR,I,657,230
4A472E1193,1TR,II,699,288
495ADC4194,1TR,I,46,8
C3DFC24DBF,1TR,I,658,204
C3DFC24DBF,1TR,II,714,289
51EF12B621,1TR,I,658,76
51EF12B621,1TR,II,714,157
362BA9762E,1TR,I,658,20
362BA9762E,1TR,II,714,122
24B2C50FF5,1TR,I,658,84
24B2C50FF5,1TR,II,714,220
161607D752,1TR,I,658,64
161607D752,1TR,II,714,187
BBAF304826,1TR,I,658,79
BBAF304826,1TR,II,714,198
5E7D2FB554,1TR,I,658,108
