rok_szkolny,semestr,Dziennik,wszystkich,nieobecnych,frekwencja_pct,rocznik,numer_klasy,sufiks,sort_rok,sort_sem
2020/2021,I,1M,7575,1789,76.4,2020,1,M,0,0
2020/2021,II,1M,9705,2707,72.1,2020,1,M,0,1
2021/2022,I,1M,8835,1727,80.5,2021,1,M,1,0
2021/2022,II,1M,8563,2014,76.5,2021,1,M,1,1
2023/2024,I,1M,11515,2752,76.1,2023,1,M,3,0
2023/2024,II,1M,13467,4948,63.3,2023,1,M,3,1
2024/2025,I,1M,6297,1583,74.9,2024,1,M,4,0
2024/2025,II,1M,9295,3094,66.7,2024,1,M,4,1
2025/2026,I,1M,7557,2145,71.6,2025,1,M,5,0
2025/2026,II,1M,10870,5091,53.2,2025,1,M,5,1
2022/2023,I,1MK,17289,3273,81.1,2022,1,MK,2,0
2022/2023,II,1MK,13076,3507,73.2,2022,1,MK,2,1
2024/2025,I,1RŻ,9841,2103,78.6,2024,1,RŻ,4,0
2024/2025,II,1RŻ,12690,3756,70.4,2024,1,RŻ,4,1
2021/2022,I,1RŻ5,17572,2488,85.8,2021,1,RŻ5,1,0
2021/2022,II,1RŻ5,16379,3933,76.0,2021,1,RŻ5,1,1
2020/2021,I,1TM5,9164,1275,86.1,2020,1,TM5,0,0
2020/2021,II,1TM5,11911,1893,84.1,2020,1,TM5,0,1
2021/2022,I,1TM5,15330,2446,84.0,2021,1,TM5,1,0
2021/2022,II,1TM5,14042,2527,82.0,2021,1,TM5,1,1
2022/2023,I,1TM5,17536,2274,87.0,2022,1,TM5,2,0
2022/2023,II,1TM5,12145,2979,75.5,2022,1,TM5,2,1
2023/2024,I,1TMR,14840,2134,85.6,2023,1,TMR,3,0
2023/2024,II,1TMR,15647,4387,72.0,2023,1,TMR,3,1
2024/2025,I,1TMR,9388,1362,85.5,2024,1,TMR,4,0
2024/2025,II,1TMR,12342,3336,73.0,2024,1,TMR,4,1
2025/2026,I,1TMR,11992,1543,87.1,2025,1,TMR,5,0
2025/2026,II,1TMR,16386,3840,76.6,2025,1,TMR,5,1
2023/2024,I,1TR,14938,2717,81.8,2023,1,TR,3,0
2023/2024,II,1TR,14583,4093,71.9,2023,1,TR,3,1
2025/2026,I,1TR,10675,1533,85.6,2025,1,TR,5,0
2025/2026,II,1TR,13617,3763,72.4,2025,1,TR,5,1
