rok_szkolny,semestr,Dziennik,liczba_uczniow,liczba_odstajacych,frekwencja_z_odstajacymi,frekwencja_bez_odstajacych,pct_odstajacych
2020/2021,I,1M,15.0,0.0,76.4,76.4,0.0
2020/2021,I,1TM5,21.0,0.0,86.3,86.3,0.0
2020/2021,I,1TW5,14.0,3.0,92.8,96.2,21.4
2020/2021,I,1TŻ5,15.0,0.0,85.4,85.4,0.0
2020/2021,I,2MK,24.0,0.0,73.1,73.1,0.0
2020/2021,I,2RŻ5,30.0,0.0,81.9,81.9,0.0
2020/2021,I,2TM5,22.0,0.0,88.9,88.9,0.0
2020/2021,I,2TMR,22.0,2.0,79.2,82.3,9.1
2020/2021,I,2TR,18.0,0.0,77.3,77.3,0.0
2020/2021,I,2TŻ,23.0,3.0,84.4,89.3,13.0
2020/2021,I,3M,14.0,0.0,56.7,56.7,0.0
2020/2021,I,3TRM,26.0,1.0,82.0,83.0,3.8
2020/2021,I,3TŻ,20.0,0.0,84.1,84.1,0.0
2020/2021,I,4TRM,23.0,1.0,68.3,70.0,4.3
2020/2021,I,4TŻ,25.0,1.0,72.2,73.9,4.0
2020/2021,II,1M,15.0,0.0,72.1,72.1,0.0
2020/2021,II,1TM5,21.0,0.0,84.3,84.3,0.0
2020/2021,II,1TW5,14.0,0.0,89.0,89.0,0.0
2020/2021,II,1TŻ5,15.0,1.0,80.4,85.2,6.7
2020/2021,II,2MK,24.0,1.0,69.1,72.0,4.2
2020/2021,II,2RŻ5,30.0,0.0,73.2,73.2,0.0
2020/2021,II,2TM5,22.0,0.0,81.7,81.7,0.0
2020/2021,II,2TMR,22.0,0.0,78.0,78.0,0.0
2020/2021,II,2TR,18.0,1.0,73.8,76.8,5.6
2020/2021,II,2TŻ,23.0,1.0,78.5,81.8,4.3
2020/2021,II,3M,14.0,0.0,49.0,49.0,0.0
2020/2021,II,3TRM,26.0,0.0,72.0,72.0,0.0
2020/2021,II,3TŻ,20.0,0.0,84.1,84.1,0.0
2020/2021,II,4TRM,23.0,0.0,71.9,71.9,0.0
2020/2021,II,4TŻ,25.0,1.0,75.7,77.5,4.0
2021/2022,I,1M,15.0,1.0,80.4,82.3,6.7
2021/2022,I,1RŻ5,28.0,1.0,85.6,87.0,3.6
2021/2022,I,1TM5,23.0,1.0,84.0,85.0,4.3
2021/2022,I,1TW5,24.0,0.0,85.0,85.0,0.0
2021/2022,I,2M,16.0,0.0,68.9,68.9,0.0
2021/2022,I,2TM5,21.0,0.0,77.3,77.3,0.0
2021/2022,I,2TW5,13.0,0.0,79.6,79.6,0.0
2021/2022,I,2TŻ5,14.0,0.0,79.2,79.2,0.0
2021/2022,I,3MK,23.0,3.0,66.7,73.8,13.0
2021/2022,I,3RŻ5,30.0,1.0,73.4,74.5,3.3
2021/2022,I,3TM5,22.0,0.0,80.8,80.8,0.0
2021/2022,I,3TMR,23.0,0.0,67.2,67.2,0.0
2021/2022,I,3TR,17.0,0.0,74.4,74.4,0.0
2021/2022,I,3TŻ,21.0,1.0,73.3,75.1,4.8
2021/2022,I,4TRM,25.0,0.0,69.5,69.5,0.0
2021/2022,I,4TŻ,20.0,1.0,77.4,79.9,5.0
2021/2022,II,1M,16.0,0.0,76.5,76.5,0.0
2021/2022,II,1RŻ5,27.0,3.0,76.0,80.1,11.1
2021/2022,II,1TM5,23.0,1.0,82.0,83.0,4.3
