uczen_id,Dziennik,semestr,wszystkich,nieobecnych,rok_szkolny,frekwencja_pct,rocznik,sufiks,dolna_granica,odstajacy
8690EEB1EC,2TMR,I,559,50,2020/2021,91.1,2019,TMR,52.9,False
8690EEB1EC,2TMR,II,641,46,2020/2021,92.8,2019,TMR,48.95,False
14B6C5205E,2TMR,I,575,53,2020/2021,90.8,2019,TMR,52.9,False
14B6C5205E,2TMR,II,641,101,2020/2021,84.2,2019,TMR,48.95,False
75BCF6123B,2TMR,I,575,115,2020/2021,80.0,2019,TMR,52.9,False
75BCF6123B,2TMR,II,641,163,2020/2021,74.6,2019,TMR,48.95,False
D0B043A863,2TMR,I,575,318,2020/2021,44.7,2019,TMR,52.9,True
D0B043A863,2TMR,II,641,278,2020/2021,56.6,2019,TMR,48.95,False
7F4CB815A8,2TMR,I,575,127,2020/2021,77.9,2019,TMR,52.9,False
7F4CB815A8,2TMR,II,641,192,2020/2021,70.0,2019,TMR,48.95,False
49413735A2,2TMR,I,575,131,2020/2021,77.2,2019,TMR,52.9,False
49413735A2,2TMR,II,641,174,2020/2021,72.9,2019,TMR,48.95,False
21B8C59A44,2TMR,I,575,107,2020/2021,81.4,2019,TMR,52.9,False
21B8C59A44,2TMR,II,641,115,2020/2021,82.1,2019,TMR,48.95,False
AB36F4F854,2TMR,I,575,84,2020/2021,85.4,2019,TMR,52.9,False
AB36F4F854,2TMR,II,641,96,2020/2021,85.0,2019,TMR,48.95,False
B1DAE414EE,2TMR,I,560,178,2020/2021,68.2,2019,TMR,52.9,False
B1DAE414EE,2TMR,II,641,217,2020/2021,66.1,2019,TMR,48.95,False
93D256FC07,2TMR,I,575,207,2020/2021,64.0,2019,TMR,52.9,False
93D256FC07,2TMR,II,641,173,2020/2021,73.0,2019,TMR,48.95,False
394F7D11A9,2TMR,I,575,78,2020/2021,86.4,2019,TMR,52.9,False
394F7D11A9,2TMR,II,631,117,2020/2021,81.5,2019,TMR,48.95,False
80E394C666,2TMR,I,575,55,2020/2021,90.4,2019,TMR,52.9,False
80E394C666,2TMR,II,631,73,2020/2021,88.4,2019,TMR,48.95,False
5EF68C3E6E,2TMR,I,575,113,2020/2021,80.3,2019,TMR,52.9,False
5EF68C3E6E,2TMR,II,631,88,2020/2021,86.1,2019,TMR,48.95,False
1ED6F96AB3,2TMR,I,575,151,2020/2021,73.7,2019,TMR,52.9,False
1ED6F96AB3,2TMR,II,631,210,2020/2021,66.7,2019,TMR,48.95,False
65E5992ACF,2TMR,I,575,279,2020/2021,51.5,2019,TMR,52.9,True
